line,tag,pred
1 Either the Placement Agent or the Issuer may offer the Notes at other prices as may be negotiated at the time of sale which may vary among different purchasers and which may be different from the issue price of the Notes.,p,
"See the section entitled ""Risk Factors"" herein for a discussion of certain factors to be considered in connection with an investment in the Notes.",p,
RISK FACTORS,h2,
"As a result of the credit crisis in Europe, in particular in Cyprus, Greece, Ireland, Italy, Portugal and Spain, the European Commission created the European Financial Stability Facility (the ""EFSF"") and the European Financial Stability Mechanism (the ""EFSM"") to provide funding to Euro zone countries in financial difficulties that seek such support. In March 2011, the European Council agreed on the need for Euro zone countries to establish a permanent stability mechanism, the European Stability Mechanism (the ""ESM""), to assume the role of the EFSF and the EFSM in providing external financial assistance to Euro zone countries from 1 July 2013.",p,
FORM OF THE NOTES,h2,
"Beneficial interests in Global Certificates will be subject to certain restrictions on transfer set out therein and in the Trust Deed and as set out in Regulation S and Rule 144A, and the Notes will bear the applicable legends regarding the restrictions set out under ""Transfer Restrictions"". In the case of each Class of Notes, a beneficial interest in a Regulation S Global Certificate may be transferred to a person who takes delivery in the form of an interest in a Rule 144A Global Certificate in denominations greater than or equal to the minimum denominations applicable to interests in such Rule 144A Global Certificate only upon receipt by a Transfer Agent of a written certification (in the form provided in the Trust Deed) to the effect that the transferor reasonably believes that the transferee is a QIB/QP and that such transaction is in accordance with any applicable securities laws of any state of the United States or any other jurisdiction. Beneficial interests in the Rule 144A Global Certificates may be transferred to a person who takes delivery in the form of an interest in a Regulation S Global Certificate only upon receipt by a Transfer Agent of a written certification (in the form provided in the Trust Deed) from the transferor to the effect that the transfer is being made to a non-U.S. Person in an offshore transaction and in accordance with Regulation S.",p,
"The Rule 144A Notes of each Class including, where applicable, the CM Voting Notes, the CM Non-Voting Exchangeable Notes and the CM Non-Voting Notes of such Class, will be represented on issue by a Rule 144A Global Certificate deposited with, and registered in the name of, a nominee of a common depositary for Euroclear and Clearstream, Luxembourg. Beneficial interests in a Rule 144A Global Certificate may only be held at any time only through Euroclear or Clearstream, Luxembourg. See ""Book Entry Clearance Procedures"". By acquisition of a beneficial interest in a Rule 144A Global Certificate, the purchaser thereof will be deemed to represent, amongst other things, that it is a QIB/QP and that, if in the future it determines to transfer such beneficial interest, it will transfer such interest in accordance with the procedures and restrictions contained in the Trust Deed. See ""Transfer Restrictions"".",p,
BOOK ENTRY CLEARANCE PROCEDURES,h2,
THE ISSUER,h2,
"The Issuer has no indebtedness as at the date of this Prospectus, other than that which the Issuer has incurred or shall incur in relation to the transactions contemplated herein (including the funding provided pursuant to the Warehouse Arrangements, which will be repaid in full on the Issue Date).",p,
"The auditors of the Issuer are Mazars Paardekooper Hoffman N.V., who are chartered accountants and are members of The Netherlands Institute of Chartered Accountants (Nederlandse Beroepsorganisatie van Accountants), and registered auditors qualified in practice in The Netherlands.",p,
THE COLLATERAL MANAGER,h2,
"Bruno de Pampelonne, Tikehau Investment Management Chairman. Bruno joined Tikehau Capital in 2006. He started his career at Credit Lyonnais in 1983 in the US before joining Goldman Sachs in 1985 in London where he was on the proprietary European trading desk. He then joined CSFB in order to start their Paris operations and headed the equity and debt team until 1993. In 1993, he joined Merrill Lynch in Paris and was the Managing Director heading up the Fixed Income business. He was also France country head for Merrill Lynch from 2003. Bruno was President of EDHEC’s alumni association and is on EDHEC’s board of directors and a member of the international advisory board of the EDHEC Risk Institute.",p,
"Lord Peter Levene, Tikehau Investment Limited Chairman, Tikehau Capital Europe Director. Peter Levene joined Tikehau Capital in September 2013 as Chairman of Tikehau Investment Limited. He is a graduate of the City of London School and the University of Manchester. He is the Chairman of Starr Underwriting Agents Limited. Previously he served as Chairman of Lloyd’s Insurance Market from 2002 to 2011. Former Lord Mayor of the City of London. He also was Chairman and CEO of Canary Wharf.",p,
"Although the persons described above are currently employed by Tikehau Capital and are engaged in the activities of the group, such persons may not necessarily continue to be employed by Tikehau Capital during the entire term of the Collateral Management Agreement.",p,
THE RETENTION HOLDER AND RETENTION REQUIREMENTS,h2,
"With a view to effectively managing its exposure to market price volatilities of the Originator Assets, the Collateral Manager may from time to time (and is expected to do so in the majority of cases) acquire Originator Assets and immediately enter into a forward purchase arrangement (a ""Forward Purchase Arrangement"") with one of the issuers established in connection with one of the CLOs managed by it (each, a ""CLO Issuer""), under which the relevant CLO Issuer shall commit to purchase the relevant Originator Assets for the same purchase price as the Collateral Manager has committed to purchase that Collateral Debt Obligation from the relevant Market Seller (which shall be no earlier than 15 Business Days after the date of such commitment to purchase).",p,
"The CLO Issuer, the Collateral Manager and the Market Seller may also enter into a multilateral netting agreement (the ""Netting Agreement"") with respect to the purchase of an Originator Asset, which shall provide for the relevant Market Seller to enter into the assignment or transfer agreement required to effect the transfer of such Originator Asset directly with the CLO Issuer. Pursuant to the Netting Agreement, the Issuer shall, on the date of settlement, pay the purchase price of the Collateral Debt Obligation to the Collateral Manager, which the Collateral Manager shall correspondingly pay to the Market Seller.",p,
"In the event that any Originator Asset does not satisfy certain conditions precedent on the relevant purchase effective date to the relevant CLO Issuer, including if such obligation becomes defaulted, credit impaired or otherwise does not satisfy the eligibility criteria pursuant to the Warehouse Arrangements (if such purchase effective date falls prior to the Issue Date) or does not satisfy the Eligibility Criteria (if such purchase effective date falls on or after the Issue Date), the CLO Issuer will not be obliged to complete the purchase of the relevant asset and the applicable Forward Purchase Arrangement will be terminated. As a result, the Collateral Manager will be exposed to default and credit risk on such Originator Assets for the period between its purchase and the onward sale under the applicable Forward Purchase Arrangement.",p,
THE COLLATERAL ADMINISTRATOR,h2,
"that it considers appropriate for such reinvestment, in redemption by way of Special Redemption of the Rated Notes in accordance with the Note Payment Sequence) in an amount (such amount the ""Required Diversion Amount"") equal to the lesser of (1) 50 per cent. of all remaining Interest Proceeds available for payment and (2) the amount which, after giving effect to the payment of all amounts payable in respect of paragraphs (A) through (V) (inclusive) of the Interest Proceeds Priority of Payments, would be sufficient to cause the Interest Diversion Test to be met, as of the relevant Determination Date after giving effect to any payments made pursuant to paragraph (W) of the Interest Proceeds Priority of Payments.",p,
Designation for Reinvestment,h3,
The following description of the Collateral Management Agreement consists of a summary of certain provisions of the Collateral Management Agreement which does not purport to be complete and is qualified by reference to the detailed provisions of such agreement.,p,
DESCRIPTION OF THE COLLATERAL MANAGEMENT AGREEMENT,h2,
No Voting Rights,h3,
Available Entity,h3,
Legal Entity Professional,h3,
"If a holder of Class E Notes, Class F Notes, Class Z Notes or Subordinated Notes represented by a Definitive Certificate wishes at any time to (a) exchange such Definitive Certificate for; or (b) transfer its interest in such Notes to a person who wishes to take delivery thereof in the form of, in each case a beneficial interest in a Regulation S Global Certificate, such holder may effect such exchange or transfer only upon receipt by the Registrar of: (i) notification from the common depositary for Euroclear and Clearstream, Luxembourg of the Regulation S Global Certificate that the appropriate credit entry has been made in the accounts of the relevant",p,p
"participants of Euroclear and Clearstream, Luxembourg (but in no case for less than the minimum authorised denomination applicable to such Notes); and (ii) a certificate in the form of part 7 (Form of Definitive Certificate to Regulation S Global Certificate Transfer Certificate of Class E Notes, Class F Notes, Class Z Notes or Subordinated Notes) of schedule 4 (Transfer, Exchange and Registration Documentation) of the Trust Deed or in such other form as the Registrar, relying upon the advice of counsel, may deem substantially similar in legal effect (in each case, copies of which are provided to the Trustee as applicable) given by the holder of the beneficial interests in such Notes.",p,p
Each person who becomes an owner of a beneficial interest in a Regulation S Global Certificate will be deemed to have represented and agreed to the representations set forth in this Offering Circular relating to such Notes under the heading “Transfer Restrictions”.,p,p
Rule 144A,p,title
